Family ID,Created at,Survey number,Priority date,Indicator,Level,Why don't you have it,What will you do to get it,How long will it take to achieve it,Estimated date
18783,2022-02-01,1º,2022-02-01,Stable Income,1,Was only attending school ,I start my new job tomorrow ,6,2022-08-01
18783,2022-02-01,1º,2022-02-01,Close relationships,1,We dont go out in public much and have no local family ,Im not sure yet,6,2022-08-01
18783,2022-02-01,1º,2022-02-01,Civic Engagement,1,Don't go out much ,Go out try new things ,6,2022-08-01
126827,2021-11-11,1º,2021-11-11,Physical Activity,2,we have not been doing enough physical activity during the week ,plan weekly physical activities during the week  ,6,2022-05-11
171953,2023-03-27,2º,2023-03-27,Budget,2,At times we still struggle to budget,stick the budget plan ,7,2023-10-27
36074,2022-02-08,1º,2022-02-08,Stable Housing,1,my family relocated,get a job so we will have the money to move out on our own.,12,2023-02-08
36074,2022-05-04,2º,2022-05-04,Income,2,I am looking a job.,Continue to do web searches for a job and complete applications.,12,2023-05-04
36074,2022-05-04,2º,2022-05-04,Savings,2,looking a job since relocating,once I start working I will put $50 into an account every month to build up his account.,12,2023-05-04
3305,2022-11-29,1º,2022-11-29,Nutritious diet,2,"I am always busy , don't have time ",Plan it right make time ,8,2023-07-29
36441,2022-08-31,1º,2022-08-31,Savings,1,Recently lost my job.,"now that my kids are in school, i can work",1,2022-09-30
36441,2022-08-31,1º,2022-08-31,Bank services,1,Did not have a bank account,go apply for a bank account,1,2022-09-30
36441,2022-08-31,1º,2022-08-31,Stable Income,2,Didnt have a job,get a job,1,2022-09-30
36728,2022-11-29,1º,2022-11-29,Savings,1,No money,Financial sessions,11,2023-10-29
36098,2022-06-07,1º,2022-06-07,Stable Income,2,BECAUSE I ONLY WORK PART TIME,FIND A FULL TIME JOB,1,2022-07-07
36098,2022-07-11,2º,2022-07-11,Stable Income,2,I just started working full time hours,I will continue working full time hours at my current job until I find a better job.,12,2023-07-11
172555,2022-12-13,1º,2022-12-13,Budget,2,,,6,2023-06-13
172555,2022-12-13,1º,2022-12-13,Nutritious diet,2,,,5,2023-05-13
3148,2021-11-11,1º,2021-11-11,Savings,2,Not working used up my savings,I am working and putting up 40 dollars weekly to build my savings up ,12,2022-11-11
3148,2021-11-11,1º,2021-11-11,Credit,2,Unexpected circumstances in my life,I am working some now and have a plan in place to improve it.,12,2022-11-11
3148,2021-11-11,1º,2021-11-11,Debt,1,just started back to work.,I am working to catch it up,12,2022-11-11
3148,2022-05-05,2º,2022-05-05,Savings,2,Because I only work part time,Work more hours,12,2023-05-05
163502,2022-10-03,1º,2022-10-03,Savings,2,Learn how to safe more,Take tips,12,2023-10-03
36876,2022-12-07,1º,2022-12-07,Environment,2,I have some pollution in my home due to my husband job.  ,Prevent areas around my home,2,2023-02-07
13442,2022-12-09,1º,2022-12-09,Savings,2,one parent working,Save weekly,6,2023-06-09
13442,2022-12-09,1º,2022-12-09,Physical Activity,2,Not enough time,Make more time to do activities,6,2023-06-09
33072,2022-12-15,1º,2022-12-15,Physical Activity,2,Do not exercise as often,make healthier choices,6,2023-06-15
26980,2021-11-11,1º,2021-11-15,Savings,1,I really do not have a staple job,By getting a permanent job ,6,2022-05-15
26980,2022-05-03,2º,2022-05-03,Savings,2,I am not making enough money.,Find a job that pays ,12,2023-05-03
26980,2022-05-03,2º,2022-05-03,Budget,2,I need to tale time to sit down and write it out.,Write out all my bills that are being spent out of my monthly income and check to see what I have left..,12,2023-05-03
30379,2021-11-05,1º,2021-11-05,Income,2,Hours vary,Get extra hours,3,2022-02-05
30379,2021-11-05,1º,2021-11-05,Nutritious diet,2,It vary,Eat more vegetables and fruits throughout the day.,3,2022-02-05
30379,2021-11-05,1º,2021-11-05,Close relationships,2,Dont like talking much,Try better by interacting more in public. ,5,2022-04-05
30764,2021-09-29,1º,2021-09-29,Savings,1,Need to spend less,Try to save $5 a week,12,2022-09-29
30764,2021-09-29,1º,2021-09-29,Bank services,1,Don't know what I need to open account,Ask what is needed to open account,8,2022-05-29
30764,2021-09-29,1º,2021-09-29,Healthy teeth,1,Havent had time to go,Make time for it,8,2022-05-29
30764,2021-09-29,1º,2021-09-29,Literacy,1,Haven't gone to school,Go to ESL classes,6,2022-03-29
154177,2023-03-24,1º,2023-03-24,Savings,2,Sometime unexpected expenses come up,Try to save money from each paycheck. ,12,2024-03-24
154177,2023-03-24,1º,2023-03-24,Credit,2,,,12,2024-03-24
3,2020-12-04,1º,2020-12-04,Internet,1,I do not have good internet,Reach out to my Head Start program,1,2021-01-04
29056,2022-05-14,1º,2022-05-14,Income,2,I have enough but no extra because I work part time,I am applying for full time positions,12,2023-05-14
29056,2022-05-14,1º,2022-05-14,Savings,2,I have little but like to have more but I only work part time.,I am currently looking full time employment,12,2023-05-14
27918,2021-10-25,1º,2021-12-09,Savings,1,Every time I try to save an emergency comes up.,But little on the side from my check to my savings.,6,2022-06-09
27918,2021-10-25,1º,2021-12-09,Credit,1,Student loans,Pay student loans off,22,2023-10-09
27918,2021-10-25,1º,2021-12-09,Debt,1,Trying to manage ,Manage my debts in more in dept,6,2022-06-09
27918,2022-10-24,3º,2022-10-24,Savings,1,Poor spending habits,Stop shopping so much,3,2023-01-24
27918,2022-10-24,3º,2022-10-24,Credit,2,Lack on paying on time,Set up autopay ,6,2023-04-24
27918,2022-10-24,3º,2022-10-24,Budget,1,Spend too much going out,Try to stay more at home doing fun activities with my children.,6,2023-04-24
36141,2022-05-05,1º,2022-05-05,Income,2,I have been working since COVID began,I am looking for a job on the Web and applying in person,12,2023-05-05
36141,2022-05-05,1º,2022-05-05,Savings,2,because I had not been working,find a job as soon as possible,12,2023-05-05
36141,2022-05-05,2º,2022-05-05,Income,2,I didn't have a job,I am currently looking a job,12,2023-05-05
36141,2022-05-05,2º,2022-05-05,Savings,2,I lost my job during COVID,I will find a job I am currently looking,12,2023-05-05
36141,2022-11-29,3º,2022-11-29,Nutritious diet,2,I am busy working ,start planning on healthy meals,6,2023-05-29
13342,2022-01-28,1º,2022-01-28,Savings,2,Have a part time job not enough money,Find a full time job,3,2022-04-28
13342,2022-01-28,1º,2022-01-28,Credit,2,Never have openanything on credit,Open an account that builds up credit with a bank,3,2022-04-28
13342,2022-01-28,1º,2022-01-28,Physical Activity,2,Time management ,Start a routine ,1,2022-02-28
13342,2022-10-07,3º,2022-10-07,Water,2,Cleaning ,Filters ,1,2022-11-07
13342,2022-10-07,3º,2022-10-07,Stable Housing,2,Family ,Budget,1,2022-11-07
13342,2022-10-07,3º,2022-10-07,Bathroom,2,Time,Time management ,2,2022-12-07
37092,2022-12-12,1º,2022-12-12,Income,2,,,5,2023-05-12
37092,2022-12-12,1º,2022-12-12,Credit,2,,,6,2023-06-12
37092,2022-12-12,1º,2022-12-12,Nutritious diet,2,,,6,2023-06-12
6,2021-03-12,1º,2021-05-18,Physical Activity,2,Need more time,Make time,1,2021-06-18
35695,2021-11-09,1º,2021-11-09,Literacy,1,Por que no creci aqui en este pais,Clases de ingles,6,2022-05-09
32785,2021-11-08,1º,2021-11-08,Savings,2,I just got a job,everytime I get paid I will be putting money in an envelope and putting it away,6,2022-05-08
32785,2021-11-08,1º,2021-11-08,Credit,1,I have not had a need to do so,I will join credit Karma,2,2022-01-08
32785,2021-11-08,1º,2021-11-08,Budget,2,I just haven't taken time to do it,I will set a budget making a list saying what I make weekly and what I am spending weekly,6,2022-05-08
32785,2022-05-06,2º,2022-05-06,Savings,2,I just started working a few months ago.,work 40 hours a week and put some money in a savings account weekly ,12,2023-05-06
32785,2022-11-29,3º,2022-11-29,Nutritious diet,2,I have not taken the time to do it ,Plan it and work on it with the family ,6,2023-05-29
35840,2021-10-21,1º,2021-11-29,Savings,2,Haven’t been able to save money.,Set up a budget to see where I can save,6,2022-05-29
33776,2022-05-05,2º,2022-05-05,Stable Housing,1,I was evicted from my last apartment and had to live with my uncle,I am currently looking/applying for housing who do not credit check,12,2023-05-05
33776,2022-05-05,2º,2022-05-05,Enough space,1,I am currently living with another family and my five kids,I am applying for apartments nearby,12,2023-05-05
33776,2022-11-29,1º,2022-11-29,Nutritious diet,2,I have to plan time for healthy meals ,Plan meals ,7,2023-06-29
36863,2023-01-12,1º,2023-01-12,Budget,2,,,6,2023-07-12
36863,2023-01-12,1º,2023-01-12,Physical Activity,2,,,3,2023-04-12
37139,2022-11-22,1º,2022-11-22,Savings,1,shopping problems,shop less,1,2022-12-22
18179,2022-11-29,1º,2022-11-29,Nutritious diet,2,we have a busy scheduled ,have to make a Nutrition meals ,6,2023-05-29
30368,2022-11-30,1º,2022-11-30,Savings,2,Single parent no income at the moment ,Recently got a job interview waiting to get a call back.,1,2022-12-30
30368,2022-11-30,1º,2022-11-30,Debt,2,Last job I had wasn't a good pay and not enough to pay my bills. ,Waiting for a call back.,1,2022-12-30
30368,2022-11-30,1º,2022-11-30,Budget,2,Haven't had a good paying job that will be enough to put money on the side. ,About to get a better job just waiting for feedback. ,1,2022-12-30
31486,2021-11-04,1º,2021-11-04,Credit,1,Its low ,Building the credit up ,13,2022-12-04
118517,2021-11-11,1º,2021-11-11,Credit,2,I have not taken the time to improve a credit plan ,improve my credit by building credit in payments ,9,2022-08-11
118517,2021-11-11,1º,2021-11-11,Physical Activity,2,"we have some active lifestyle, but not enough",plan active activities during the week  ,6,2022-05-11
35393,2022-11-29,1º,2022-11-29,Physical Activity,2,"i am always on the go,",Plan healthy activities on the side ,6,2023-05-29
35673,2021-11-10,1º,2021-11-10,Budget,1,Always something comes up,Create a plan ,12,2022-11-10
20447,2021-11-10,1º,2021-11-10,Income,2,my job does not pay enough money,look for a higher paying job,6,2022-05-10
20447,2021-11-10,1º,2021-11-10,Credit,2,I have not checked my credit because I have not tried to buy anything,I will use credit karma and check it every three months.,12,2022-11-10
20447,2021-11-10,1º,2021-11-10,Budget,2,things are always popping up that the children need,I will write down all my monthly bills and and my income and compare them and see if I can cut something out to balance my budget,12,2022-11-10
20447,2022-05-09,2º,2022-05-09,Income,2,I work full time but my job pay rate is low,I will ask for a raise,12,2023-05-09
147633,2021-11-09,1º,2021-11-09,Income,2,pay are needs monthly ,set a side some savings for extra needs ,3,2022-02-09
147633,2021-11-09,1º,2021-11-09,Savings,2,"spend more, then we should ",get what is necessary and save for savings  ,3,2022-02-09
147633,2021-11-09,1º,2021-11-09,Debt,2,income is normal pay ,salary has to be higher pay ,3,2022-02-09
14934,2021-11-11,1º,2021-11-12,Savings,1,Because I lost my job during COVID,I will start putting away 10 dollars a month in a savings account.,12,2022-11-12
14934,2021-11-11,1º,2021-11-12,Credit,1,I have not been trying to purchase anything that requires me to check my credit.,I will get help from the credit union they have a financial coach.,12,2022-11-12
14934,2021-11-11,1º,2021-11-12,Debt,1,I do not have a job.,Get a job so I can make more money.,6,2022-05-12
14934,2022-05-06,2º,2022-05-06,Savings,2,I only work part time .,get a full time job for 40 hours a week.,12,2023-05-06
14934,2022-11-29,3º,2022-11-29,Budget,2,I have to plan on saving ,save money ,6,2023-05-29
32996,2021-11-09,1º,2021-11-09,Stable Income,2,Lack of employment,Look online for jobs and apply for jobs that will fit my schedule to take care of my children.,6,2022-05-09
32996,2021-11-09,1º,2021-11-09,Enough space,2,we live with other family members.,Find a job so I can get an apartment for me and my child.,12,2022-11-09
32996,2021-11-09,1º,2021-11-09,Generate income,2,lack of higher education,apply for some online schools,8,2022-07-09
18274,2022-11-29,1º,2022-11-29,Income,2,I am on maternity leave at this time,I will return to work soon,2,2023-01-29
18274,2022-11-29,1º,2022-11-29,Debt,1,My truck payment is over $600,I am thinking about trading it in for a cheaper vehicle and a larger vehicle for the kids,6,2023-05-29
18274,2022-11-29,1º,2022-11-29,Budget,2,I do have a budget but with the new baby is different,I will return to work when able,2,2023-01-29
126256,2021-11-04,1º,2021-11-04,Vaccines,2,I don't believe in vaccines. ,Nothing,10,2022-09-04
28995,2021-10-27,1º,2021-11-18,Budget,2,We try to budget but it doesn't work out all the time.,Whatever I can to spend money and save money better.,6,2022-05-18
33535,2021-11-08,1º,2021-11-08,Healthy vision,1,Just got Hank ,Get an appointment with an eye dr.,1,2021-12-08
33535,2021-11-08,1º,2021-11-08,Internet,1,Cant afford,Try to save and get some debts out of the way,5,2022-04-08
33535,2021-11-08,1º,2021-11-08,Civic Engagement,1,Dont have the time ,Time management ,3,2022-02-08
3103,2023-03-24,1º,2023-03-24,Income,2,Unexpected expenses ,Cut down on extra curricular activities.,6,2023-09-24
35183,2021-10-18,1º,2021-11-19,Nutritious diet,2,Fast food is cheaper and I don't have to cook all the time.,Maybe consider intentional grocery shopping and possibly learning to coupon as well as choosing healthier items on the fast food menus.,5,2022-04-19
35183,2022-09-27,3º,2022-10-04,Credit,2,Have not tried to open up credit accounts.,Figure out which business offers better credit building.,5,2023-03-04
35183,2022-09-27,3º,2022-10-04,Bank services,2,I do have it but Im looking to open up Arriyah a child savings account,Get more information on banks around ,3,2023-01-04
35183,2022-09-27,3º,2022-10-04,Physical Activity,2,I don't have a lot spare time to play with.,I will try to schedule my time wisely. ,3,2023-01-04
35412,2022-01-21,1º,2022-01-21,Savings,2,I am unemployeed,complete a resume and apply for jobs,12,2023-01-21
35412,2022-05-05,2º,2022-05-05,Savings,2,Since COVID started I lost my job.,I will continue to apply for jobs on web and in person.,12,2023-05-05
35412,2022-11-29,3º,2022-11-29,Nutritious diet,2,I am on the go all the time ,implement it to my family ,6,2023-05-29
24042,2021-10-20,1º,2021-11-29,Stable Housing,2,It’s very expensive.,Try looking for housing programs.,5,2022-04-29
31079,2021-10-12,1º,2021-11-11,Credit,1,"We don't use it or need it a lot, we are undocumented.",I will try to get it,3,2022-02-11
31079,2021-10-12,1º,2021-11-11,Civic Engagement,1,Because I am from another country.,I can't get it,24,2023-11-11
32134,2021-11-10,1º,2021-11-10,Credit,1,Haven't looked into it,Look for help,6,2022-05-10
32134,2021-11-10,1º,2021-11-11,English Literacy,2,Full time mom,Try to balance my time and sign up for some classes,4,2022-03-11
32134,2021-11-10,1º,2021-11-11,Civic Engagement,1,Im a shy person,Try to get more involved in my community,4,2022-03-11
23812,2021-11-10,1º,2021-11-16,Savings,1,I always wanted but never started it ,Start saving $20 per week ,6,2022-05-16
23812,2022-12-09,2º,2022-12-09,Savings,1,Solo mi esposo trabaja,Tratar de ver un trabajo pero despues que mi bebe este mas grande,12,2023-12-09
23812,2022-12-09,2º,2022-12-09,Credit,2,No eh tratado de trabajar en mi credito ,Ver mi puntaje y tratar de mejorarlo,12,2023-12-09
23812,2022-12-09,2º,2022-12-09,English Literacy,1,No eh tratado de buscar la forma,Buscar informacion sobre classes de ESL,6,2023-06-09
36947,2022-09-01,1º,2022-09-01,Savings,1,Solo mi esposo trabaja,tratar de buscar un trabajo,3,2022-12-01
36947,2022-09-01,1º,2022-09-01,Credit,1,No tenemos como sacar credito a nuestro nombre,buscar donde den credito con solo dar passaporte,4,2023-01-01
36947,2022-09-01,1º,2022-09-01,Bank Services,1,No tengo seguro,buscar un banvo latino,3,2022-12-01
34908,2022-10-04,1º,2022-10-04,Savings,1,Porque no tengo un trabajo,Buscar trabajos serca ,6,2023-04-04
34908,2022-10-04,1º,2022-10-04,Credit,1,Nunca eh hecho nada por aser credito,Buscar linea de creditos,4,2023-02-04
34908,2022-10-04,1º,2022-10-04,Internet,1,No tengo dinero para tenerlo,Buscar trabajo y ahorrar,6,2023-04-04
37211,2022-11-09,1º,2022-11-09,Ability to Generate Income,1,Need more education Get GED,will try to join pathway to success ,6,2023-05-09
28403,2022-12-12,1º,2022-12-12,Income,2,I have to get another Job ,Start saving extra for expenses,6,2023-06-12
28403,2022-12-12,1º,2022-12-12,English Literacy,2,I have not had the time to get register,Enroll in ESL ,6,2023-06-12
98629,2023-02-14,1º,2023-02-14,English Literacy,1,don't have internet or computer,get a class,12,2024-02-14
140070,2023-01-23,1º,2023-01-23,Enough space,2,The house does not have enough room,save a build extra rooms,18,2024-07-23
18211,2022-05-09,2º,2022-05-09,Savings,2,It takes what I make to provide for my family,I will start taking out 50 dollars a month and putting it in a savings account,12,2023-05-09
34636,2021-10-15,1º,2021-10-15,Insurance,1,No social,Try to find a way to get it without a social ,4,2022-02-15
34636,2021-10-15,1º,2021-10-15,English Literacy,1,Havent had the opportunity to enroll in an ESL course.,Call colleges and enroll,3,2022-01-15
34636,2021-10-15,1º,2021-10-15,Internet,1,Dont have that extra money to pay another bill,Learn to manage my bills,2,2021-12-15
34636,2022-09-07,3º,2022-10-03,Income,2,Solo mi esposo trabaja,Buscar un empleo,5,2023-03-03
34636,2022-09-07,3º,2022-10-03,Savings,2,Solo ay un ingreso en el hogar,Buscar empleo para ayudar a mi esposo,5,2023-03-03
34636,2022-09-07,3º,2022-10-03,Credit,2,No eh aplicado a credito ,Voy a buscar donde pueda abrir una cuenta de credito.,4,2023-02-03
36410,2022-11-28,1º,2022-11-28,Savings,2,No eh pensado en eso,Conzar un plan,7,2023-06-28
36997,2022-10-19,1º,2022-11-14,Income,1,no job,look for job,2,2023-01-14
36997,2022-10-19,1º,2022-11-14,Savings,1,Not job,Look for job,6,2023-05-14
18263,2022-11-29,1º,2022-11-29,Nutritious diet,2,Time,Make healthier recipes,3,2023-02-28
18263,2023-04-24,2º,2023-04-24,Savings,2,Mi esposo es el unico que trabaja ,,2,2023-06-24
18263,2023-04-24,2º,2023-04-24,Nutritious diet,2,is easier to cook unhealthy ,eat less sweets ,1,2023-05-24
18263,2023-04-24,2º,2023-04-24,Civic Engagement,1,situation de legal ,,1,2023-05-24
29325,2022-10-04,1º,2022-10-04,Bank Services,1,I do not know,More info,2,2022-12-04
29325,2022-10-04,1º,2022-10-04,English Literacy,1,I do not have time,Try to go when Liam go to School,12,2023-10-04
29325,2022-10-04,1º,2022-10-04,Internet,1,,Need info,2,2022-12-04
17340,2022-06-29,1º,2022-07-05,Physical Activity,2,No time or motivation,Find time and motivation,1,2022-08-05
131098,2021-11-09,1º,2021-11-09,Debt,2,it depends on babysitting work,get more hours in working ,3,2022-02-09
131098,2021-11-09,1º,2021-11-09,Identification,2,documents have expire ,have to renew the documents ,6,2022-05-09
36317,2022-05-26,1º,2022-05-26,Physical Activity,1,Lack of time,Go out more as family to be more active,3,2022-08-26
32005,2022-11-08,1º,2022-11-08,Bank Services,1,Not having time to find a bank,Make time to find a bank to open an account,3,2023-02-08
32005,2022-11-08,1º,2022-11-08,Access to Health Services,2,Does not seek medical care because of high costs,Find low income clinics ,5,2023-04-08
32005,2022-11-08,1º,2022-11-08,Nutritious diet,2,Because of easier convenience ,Will make more an effort to make healthier eating options to be healthier as a family and lose weight,6,2023-05-08
135022,2022-05-03,1º,2022-05-03,Physical Activity,2,we are always to busy ,I will make time on the side for exercise ,1,2022-06-03
35371,2021-12-08,1º,2021-12-08,Savings,1,No tenia trabajo,Comenenzar a trabajar y horrar 5 dolares,5,2022-05-08
33643,2022-09-29,2º,2022-09-29,Credit,1,due to my students loan my credit is not good,credit building app to increase my credit,12,2023-09-29
32603,2022-06-28,1º,2022-06-28,Stable Income,1,Husband does not stable ,Look for more jobs,9,2023-03-28
32603,2022-06-28,1º,2022-06-28,English Literacy,1,No time,Sign up for class,12,2023-06-28
32603,2022-06-28,1º,2022-06-28,Ability to Generate Income,1,Not enough work,Look for work,6,2022-12-28
29777,2021-10-05,1º,2021-10-12,Food Access,2,Not enough information ,Get information and handouts in Spanish,6,2022-04-12
29777,2021-10-05,1º,2021-10-12,Physical Activity,2,Not enough time ,I will try to make time to walk outside ,2,2021-12-12
29777,2021-10-05,1º,2021-10-12,English Literacy,1,"Can't go to school, can't drive ",Get help from my home visitor ,6,2022-04-12
31757,2022-11-29,1º,2022-11-29,English Literacy,2,I would like to learn ,enroll in a class,6,2023-05-29
25851,2021-11-16,1º,2021-11-16,Savings,1,I never tough about it ,I would start little by little putting a side maybe 40 ,6,2022-05-16
25851,2021-11-16,1º,2021-11-16,Credit,1,I never know how to access one ,I would set up a Credit Karma account ,3,2022-02-16
35202,2021-11-23,1º,2021-11-23,Credit,1,Nunca eh comenzado,Revisarlo,6,2022-05-23
31534,2021-10-19,1º,2021-10-19,Debt,1,Only one adult work,Start earning,5,2022-03-19
31534,2021-10-19,1º,2021-10-19,Identification,1,Undocumented ,Find out more information if i can obtain ,4,2022-02-19
31534,2021-10-19,1º,2021-10-19,Clothing,1,Not enough money comes in,Try to find a part time job,5,2022-03-19
31534,2022-11-10,2º,2022-11-10,English Literacy,1,I do not have time,Find a program,8,2023-07-10
35683,2022-12-06,1º,2022-12-06,Household Violence,1,No tengo a donde ir,Informarme bien y hacer lo correcto,12,2023-12-06
18779,2023-01-03,1º,2023-01-03,Debt,1,Single working parent,Wait a little longer for my younger child to grow ,12,2024-01-03
18779,2023-01-03,1º,2023-01-03,Mental Health Services,1,porque no tengo seguro medico.,ver unas opciones ,6,2023-07-03
18779,2023-01-03,1º,2023-01-03,English Literacy,1,No eh tratado de aprender durante el tiempo de estar en este pais.,Escribir me en clases de Ingles. ,3,2023-04-03
29406,2022-11-29,1º,2022-11-29,English Literacy,2,I have to learn English ,have to enroll to learn English ,12,2023-11-29
33892,2022-03-30,1º,2022-03-30,English Literacy,1,I do not know,Register to ESL,8,2022-11-30
33892,2022-10-11,1º,2022-10-13,English Literacy,1,I haven't had the time,Register to ESL classes again,6,2023-04-13
168460,2022-06-16,1º,2022-07-06,Savings,2,no eh piensado en horrar,comensar a horrar ,4,2022-11-06
168460,2022-06-16,1º,2022-07-06,Credit,2,No tengo accesso a trajetas de credito,a la mejor applicar a unas tarajetas de creditos,4,2022-11-06
168460,2022-06-16,1º,2022-07-06,Internet,2,No eh tenido tiempo para hablar y investigar,Hablar a unas companias ,3,2022-10-06
168460,2022-10-13,2º,2022-10-13,Income,2,No tengo muchas horas de trabajo ,Ver si me pueden dar mas horas,3,2023-01-13
168460,2022-10-13,2º,2022-10-13,Savings,2,No tengo mucho para poder horrar,Tratar de ser un plan de Savings,6,2023-04-13
168460,2022-10-13,2º,2022-10-13,Civic Engagement,1,No me interesa mucho,Tratar de ver opciones,7,2023-05-13
1,2021-11-09,1º,2021-11-09,Savings,1,Emergency,Working,24,2023-11-09
34682,2021-10-25,1º,2021-10-25,Savings,1,Only one parent working,Try to find a job,2,2021-12-25
34682,2021-10-25,1º,2021-10-25,Credit,1,No SS my husband usually provides his information ,Try to get involved and take out furniture on my name to build credit,3,2022-01-25
34682,2021-10-25,1º,2021-10-25,English Literacy,1,Came in the united states when i was a teenager,Find colleges that offer English courses,3,2022-01-25
34682,2022-11-03,3º,2022-11-03,Savings,1,Estoy pagando y arreglando mi casa y no ay sufficiente para los Savings,Trabajar mas horas,6,2023-05-03
34682,2022-11-03,3º,2022-11-03,Credit,1,Nunca eh sacadonnada en credito,Abrir una cuenta para poder agarar credito,4,2023-03-03
34682,2022-11-03,3º,2022-11-03,Bank Services,1,Porque mi esposo tiene cuenta en wells fargo,Tratar de abrir una cuenta,3,2023-02-03
32127,2021-11-11,1º,2021-11-15,Insurance,1,We are not eligible for Medicaid ,maybe look for any other insurances ,6,2022-05-15
32127,2021-11-11,1º,2021-11-15,English Literacy,1,We speak Spanish ,Maybe enroll in ESL classes ,5,2022-04-15
19705,2021-10-19,1º,2021-11-11,Savings,2,Because I don't have money left from my check.,"Learn to save, stop buying food out.",3,2022-02-11
19705,2021-10-19,1º,2021-11-11,Part of a Community,2,"I don't go out, only to work.","Get to know more people, new friends.",4,2022-03-11
32029,2021-11-16,1º,2021-11-16,Savings,1,Need to save,Save 50 month,1,2021-12-16
32029,2021-11-16,1º,2021-11-16,Identification,1,Not appointment ,Schedule appointments ,6,2022-05-16
32029,2021-11-16,1º,2021-11-16,Entertainment,1,Casi no salgo,Schedule play time,2,2022-01-16
36675,2022-10-19,1º,2022-11-14,Income,1,,,4,2023-03-14
36675,2022-10-19,1º,2022-11-14,Debt,1,not enough income,save money,4,2023-03-14
36675,2022-10-19,1º,2022-11-14,Budget,1,,,9,2023-08-14
35134,2021-11-10,1º,2021-11-16,English Literacy,1,We only speak Spanish ,Enroll in ESL classes ,6,2022-05-16
37214,2022-11-07,1º,2022-11-07,Savings,1,Because don't have job,After I have baby I'll will return to work ,9,2023-08-07
126813,2021-11-11,1º,2021-11-11,Nutritious diet,2,we eat a lot of food that is some what not healthy ,buy food that is healthy in nutrition's good for our health ,3,2022-02-11
126813,2021-11-11,1º,2021-11-11,Physical Activity,2,we do some active exercise not enough during the week ,have a plan on being active in exercise through out the weeks ,6,2022-05-11
30003,2021-11-17,1º,2021-11-17,Savings,1,Not job,Find job ,6,2022-05-17
30003,2021-11-17,1º,2021-11-17,Employability Readiness,1,Not childcare,Find someone to watch kids,6,2022-05-17
30003,2021-11-17,1º,2021-11-17,Physical Activity,2,Does not exercise,Set a goal,6,2022-05-17
32774,2023-06-28,2º,2023-06-28,English Literacy,1,no lo hablo ,cuando van a la esculea los ninos voy a tomar classes,20,2025-02-28
161664,2021-11-11,1º,2021-11-11,Credit,2,I dont have credit to apply due to legal documents at this moments ,We are waiting on documents to get approve to apply for credit ,10,2022-09-11
161664,2021-11-11,1º,2021-11-11,Physical Activity,2,we have been busy working ,we are planning to do more physical activities during the week for us   ,4,2022-03-11
23448,2022-10-05,1º,2022-10-05,Credit,1,Was broken for a situation,Search info,12,2023-10-05
23448,2022-10-05,1º,2022-10-05,English Literacy,1,I do not have time,Register and begin,3,2023-01-05
139250,2022-08-31,1º,2022-08-31,Income,1,No tengo un trabjajo bien pagado,Yo actualmente estoy estudiando para aprender ingles para tener mas oportunidades.,3,2022-11-30
139250,2022-08-31,1º,2022-08-31,Savings,1,No gano suficiente ,No gastar en cosas inesecarias.,5,2023-01-31
139250,2022-08-31,1º,2022-08-31,Credit,1,No tengo cuentas apiertas de credito,Buscar Bank Services que accepten passaporte. ,6,2023-02-28
36358,2022-10-03,1º,2022-10-03,Credit,1,Porque no eh comprado nada en pagos,comenzar por algo pequeno,12,2023-10-03
1,2021-05-27,2º,2021-05-27,Insurance,1,Neighborhood,Practice safety at home,20,2023-01-27
31810,2022-11-28,1º,2022-11-28,English Literacy,2,Porque no havia tiempo,Ir a la escuela,24,2024-11-28
35235,2021-11-03,1º,2021-11-03,Civic Engagement,1,Covid 19 ,Nothing ,13,2022-12-03
37105,2022-12-08,1º,2022-12-08,English Literacy,1,Trying to learn,Watch more videos to learn,5,2023-05-08
22932,2022-05-09,2º,2022-05-09,Savings,2,I don't make enough money,I am looking a better paying job,12,2023-05-09
21584,2021-11-18,1º,2021-11-18,Close Relationships,1,No hay tiempo,Crear fechas pata ver a mi familia,1,2021-12-18
36271,2022-12-08,1º,2022-12-08,Savings,1,No hay suficientes fondos,Plan financiero,9,2023-09-08
36708,2022-09-29,1º,2022-09-29,Nutritious diet,2,My teenagers don't like to eat fruits and vegetables,try to incorporate more in our diet and vitaments,3,2022-12-29
35190,2021-11-10,1º,2021-11-10,English Literacy,1,Porque siempre trabajo con personas que hablan ingles,Un curso,12,2022-11-10
23311,2022-10-06,1º,2022-10-06,English Literacy,1,I need to care my children,Wait until my children go to school,12,2023-10-06
23311,2022-10-06,1º,2022-10-06,Part of a Community,1,I do not know where I can go,Need info,6,2023-04-06
32062,2021-10-05,1º,2022-04-29,Credit,1,I don't have enough documents for credits ,Apply for documents when its time to get credit,12,2023-04-29
32062,2021-10-05,1º,2021-11-11,Employability Readiness,1,I have a new baby home and two others,Wait until they get little bit older,6,2022-05-11
32062,2021-10-05,1º,2022-04-29,Identification,2,Have to wait for documents to be approve,Waiting for documents to be approve,13,2023-05-29
32062,2021-10-05,1º,2021-11-11,English Literacy,1,I don't have day care and no driver licence,Get help from my church,4,2022-03-11
36548,2022-12-08,1º,2022-12-08,Savings,2,Solo el papa trabaja,Aun no quiero trabajar debido a mis gemelos,13,2024-01-08
